week, cumTotOrders, cumCusOrders, cumStoreOrders, cumCost, curTotOrders, curCusOrders, curStoreOrders, curCost, currentCount
1, 51, 51, 0, 282.43451177837886, 51, 51, 0, 282.43451177837886, 51
1, 132, 92, 40, 599.7345117783789, 81, 41, 40, 317.3, 42
1, 201, 131, 70, 903.8466534885795, 69, 39, 30, 304.1121417102006, 40
51, 326, 166, 160, 1259.4168059767903, 125, 35, 90, 355.57015248821097, 37
1, 361, 201, 160, 1514.646733886569, 35, 35, 0, 255.22992790977875, 35
1, 409, 249, 160, 1792.4615364770675, 48, 48, 0, 277.8148025904985, 48
1, 449, 289, 160, 2056.9482224136545, 40, 40, 0, 264.4866859365871, 40
1, 493, 333, 160, 2328.2991801037942, 44, 44, 0, 271.35095769013947, 44
51, 656, 376, 280, 2711.5106035820213, 163, 43, 120, 383.21142347822723, 46
1, 697, 417, 280, 2977.7545570255456, 41, 41, 0, 266.24395344352433, 41
1, 739, 459, 280, 3245.727546527729, 42, 42, 0, 267.97298950218305, 42
1, 783, 503, 280, 3517.0785042178686, 44, 44, 0, 271.35095769013947, 44
51, 874, 544, 330, 3844.237566156635, 91, 41, 50, 327.1590619387661, 42
1, 947, 577, 370, 4152.238844725811, 73, 33, 40, 308.00127856917646, 34
1, 1020, 620, 400, 4461.240123294987, 73, 43, 30, 309.00127856917646, 44
1, 1063, 663, 400, 4730.915083498088, 43, 43, 0, 269.6749602031015, 43
1, 1113, 713, 400, 5011.829878345337, 50, 50, 0, 280.9147948472494, 50
51, 1204, 754, 450, 5338.988940284104, 91, 41, 50, 327.1590619387661, 42
1, 1281, 791, 490, 5651.714604050633, 77, 37, 40, 312.72566376652986, 38
1, 1320, 830, 490, 5914.414543994571, 39, 39, 0, 262.6999399439383, 39
1, 1379, 859, 520, 6205.463344242175, 59, 29, 30, 291.0488002476036, 30
1, 1453, 893, 560, 6514.660553009026, 74, 34, 40, 309.1972087668518, 35
51, 1550, 940, 610, 6847.989452280526, 97, 47, 50, 333.3288992714996, 48
1, 1620, 980, 640, 7153.340213132434, 70, 40, 30, 305.3507608519078, 41
1, 1658, 1018, 640, 7414.222592752272, 38, 38, 0, 260.88237961983884, 38
1, 1730, 1060, 670, 7722.017655776666, 72, 42, 30, 307.79506302439404, 43
51, 1861, 1101, 760, 8082.729983992172, 131, 41, 90, 360.7123282155055, 43
1, 1909, 1149, 760, 8360.54478658267, 48, 48, 0, 277.8148025904985, 48
1, 1948, 1188, 760, 8623.24472652661, 39, 39, 0, 262.6999399439383, 39
1, 2006, 1216, 790, 8912.9116286338, 58, 28, 30, 289.66690210718946, 29
51, 2089, 1249, 840, 9231.446576563032, 83, 33, 50, 318.5349479292333, 34
1, 2169, 1289, 880, 9547.616332807276, 80, 40, 40, 316.1697562442441, 41
1, 2213, 1333, 880, 9818.967290497416, 44, 44, 0, 271.35095769013947, 44
1, 2249, 1369, 880, 10076.116264775734, 36, 36, 0, 257.1489742783178, 36
51, 2334, 1404, 930, 10396.853292446815, 85, 35, 50, 320.73702767108114, 36
1, 2408, 1448, 960, 10707.050501213665, 74, 44, 30, 310.1972087668518, 45
1, 2492, 1492, 1000, 11027.690511617175, 84, 44, 40, 320.64001040350905, 45
1, 2536, 1536, 1000, 11299.041469307314, 44, 44, 0, 271.35095769013947, 44
1, 2575, 1575, 1000, 11561.741409251254, 39, 39, 0, 262.6999399439383, 39
51, 2665, 1615, 1050, 11887.848438075356, 90, 40, 50, 326.1070288241023, 41
1, 2766, 1646, 1120, 12223.263826047627, 101, 31, 70, 335.41538797227, 33
1, 2805, 1685, 1120, 12485.963765991566, 39, 39, 0, 262.6999399439383, 39
51, 2899, 1729, 1170, 12816.237491839343, 94, 44, 50, 330.273725847777, 45
1, 2936, 1766, 1170, 13075.27006329531, 37, 37, 0, 259.03257145596604, 37
1, 3000, 1800, 1200, 13373.012775769928, 64, 34, 30, 297.742712474619, 35
51, 3140, 1850, 1290, 13741.191838594968, 140, 50, 90, 368.1790628250393, 52
1, 3184, 1894, 1290, 14012.542796285108, 44, 44, 0, 271.35095769013947, 44
1, 3219, 1929, 1290, 14267.772724194887, 35, 35, 0, 255.22992790977875, 35
1, 3296, 1976, 1320, 14581.498387961417, 77, 47, 30, 313.72566376652986, 48
51, 3389, 2019, 1370, 14910.740667868566, 93, 43, 50, 329.24227990714814, 44
1, 3428, 2058, 1370, 15173.440607812505, 39, 39, 0, 262.6999399439383, 39
1, 3535, 2095, 1440, 15514.662753082208, 107, 37, 70, 341.2221452697031, 39
1, 3573, 2133, 1440, 15775.545132702047, 38, 38, 0, 260.88237961983884, 38
51, 3668, 2178, 1490, 16106.843696837263, 95, 45, 50, 331.2985641352145, 46
1, 3751, 2221, 1530, 16426.378644766497, 83, 43, 40, 319.5349479292333, 44
1, 3794, 2264, 1530, 16696.0536049696, 43, 43, 0, 269.6749602031015, 43
51, 3910, 2300, 1610, 17044.635408460726, 116, 36, 80, 348.5818034911291, 38
1, 3945, 2335, 1610, 17299.865336370505, 35, 35, 0, 255.22992790977875, 35
1, 3991, 2381, 1610, 17574.494405084526, 46, 46, 0, 274.6290687140218, 46
51, 4128, 2428, 1700, 17940.21572728938, 137, 47, 90, 365.72132220485213, 49
1, 4167, 2467, 1700, 18202.915667233316, 39, 39, 0, 262.6999399439383, 39
1, 4232, 2502, 1730, 18501.956818676685, 65, 35, 30, 299.04115144336777, 36
51, 4316, 2536, 1780, 18821.596829080194, 84, 34, 50, 319.64001040350905, 35
